time,open,high,low,close,volume
1425013200,47.43,47.43,0,0,2
1425272400,31.71,31.71,0,0,2
1425358800,30.47,30.47,0,0,2
1425445200,27.41,27.41,0,0,1
1425531600,31.29,31.29,0,0,2
1425618000,68.22,68.22,0,0,3
1425873600,45.35,45.35,0,0,2
1425960000,54.25,54.25,0,0,3
1426046400,53.66,53.66,0,0,3
1426132800,43.41,43.41,0,0,2
1426219200,34.78,34.78,0,0,2
1426478400,38.16,38.16,0,0,2
1426564800,8.24,8.24,0,0,1
1426651200,71.23,71.23,0,0,4
1426737600,53.14,53.14,0,0,3
1426824000,50.17,50.17,0,0,3
1427083200,44.99,44.99,0,0,2
1427169600,23.22,23.22,0,0,1
1427256000,37.65,37.65,0,0,2
1427342400,53.55,53.55,0,0,3
1427428800,43.82,43.82,0,0,2
1427688000,60.57,60.57,0,0,3
1427774400,11.79,11.79,0,0,1
1427860800,51.22,51.22,0,0,3
1427947200,26.42,26.42,0,0,1
1428292800,32.38,32.38,0,0,2
1428379200,54.62,54.62,0,0,3
1428465600,44.02,44.02,0,0,2
1428552000,52.29,52.29,0,0,3
1428638400,13.82,13.82,0,0,1
1428897600,26.61,26.61,0,0,1
1428984000,24.93,24.93,0,0,1
1429070400,17.89,17.89,0,0,1
1429156800,9.86,9.86,0,0,1
1429243200,68.99,68.99,0,0,3
1429502400,7.04,7.04,0,0,1
1429588800,35.76,35.76,0,0,2
1429675200,27.84,27.84,0,0,1
1429761600,11.53,11.53,0,0,1
1429848000,24.93,24.93,0,0,1
1430107200,28.02,28.02,0,0,1
1430193600,47.3,47.3,0,0,2
1430280000,62.97,62.97,0,0,3
1430366400,66.78,66.78,0,0,3
1430452800,19.69,19.69,0,0,1
1430712000,4.76,4.76,0,0,1
1430798400,22.24,22.24,0,0,1
1430884800,42.14,42.14,0,0,2
1430971200,34.67,34.67,0,0,2
1431057600,50.59,50.59,0,0,3
1431316800,33.31,33.31,0,0,2
1431403200,41.81,41.81,0,0,2
1431489600,43.6,43.6,0,0,2
1431576000,26.78,26.78,0,0,1
1431662400,22.9,22.9,0,0,1
1431921600,29.3,29.3,0,0,1
1432008000,31.4,31.4,0,0,2
1432094400,18.86,18.86,0,0,1
1432180800,51.46,51.46,0,0,3
1432267200,28.1,28.1,0,0,1
1432612800,54.58,54.58,0,0,3
1432699200,4.73,4.73,0,0,1
1432785600,31.8,31.8,0,0,2
1432872000,48.79,48.79,0,0,2
1433131200,57.15,57.15,0,0,3
1433217600,47.05,47.05,0,0,2
1433304000,54.1,54.1,0,0,3
1433390400,31.37,31.37,0,0,2
1433476800,48.61,48.61,0,0,2
1433736000,21.88,21.88,0,0,1
1433822400,25.09,25.09,0,0,1
1433908800,48.8,48.8,0,0,2
1433995200,31.87,31.87,0,0,2
1434081600,47.07,47.07,0,0,2
1434340800,43.76,43.76,0,0,2
1434427200,37.28,37.28,0,0,2
1434513600,45.53,45.53,0,0,2
1434600000,66.58,66.58,0,0,3
1434686400,56.93,56.93,0,0,3
1434945600,60.14,60.14,0,0,3
1435032000,48.11,48.11,0,0,2
1435118400,21.69,21.69,0,0,1
1435204800,44.77,44.77,0,0,2
1435291200,54.01,54.01,0,0,3
1435550400,81.11,81.11,0,0,4
1435636800,52.55,52.55,0,0,3
1435723200,40.01,40.01,0,0,2
1435809600,11.31,11.31,0,0,1
1436155200,68.5,68.5,0,0,3
1436241600,50.64,50.64,0,0,3
1436328000,71.56,71.56,0,0,4
1436414400,61.13,61.13,0,0,3
1436500800,53.54,53.54,0,0,3
1436760000,17.42,17.42,0,0,1
1436846400,29.32,29.32,0,0,1
1436932800,14.23,14.23,0,0,1
1437019200,1.54,1.54,0,0,1
1437105600,13.92,13.92,0,0,1
1437364800,53.71,53.71,0,0,3
1437451200,11.29,11.29,0,0,1
1437537600,34.98,34.98,0,0,2
1437624000,25.6,25.6,0,0,1
1437710400,54.98,54.98,0,0,3
1437969600,52.97,52.97,0,0,3
1438056000,19.73,19.73,0,0,1
1438142400,23.26,23.26,0,0,1
1438228800,19.05,19.05,0,0,1
1438315200,42.18,42.18,0,0,2
1438574400,33.75,33.75,0,0,2
1438660800,24.6,24.6,0,0,1
1438747200,39.82,39.82,0,0,2
1438833600,35.23,35.23,0,0,2
1438920000,40.31,40.31,0,0,2
1439179200,50.89,50.89,0,0,3
1439265600,48.65,48.65,0,0,2
1439352000,62.89,62.89,0,0,3
1439438400,21.57,21.57,0,0,1
1439524800,44.43,44.43,0,0,2
1439784000,26.03,26.03,0,0,1
1439870400,17.69,17.69,0,0,1
1439956800,46.75,46.75,0,0,2
1440043200,55.02,55.02,0,0,3
1440129600,73.91,73.91,0,0,4
1440388800,83.07,83.07,0,0,4
1440475200,74.77,74.77,0,0,4
1440561600,71.33,71.33,0,0,4
1440648000,68.36,68.36,0,0,3
1440734400,60.32,60.32,0,0,3
1440993600,57.76,57.76,0,0,3
1441080000,65.42,65.42,0,0,3
1441166400,19.18,19.18,0,0,1
1441252800,27.63,27.63,0,0,1
1441339200,28.29,28.29,0,0,1
1441684800,33.6,33.6,0,0,2
1441771200,29.73,29.73,0,0,1
1441857600,6.59,6.59,0,0,1
1441944000,26.3,26.3,0,0,1
1442203200,2.85,2.85,0,0,1
1442289600,18.1,18.1,0,0,1
1442376000,75.97,75.97,0,0,4
1442462400,54.47,54.47,0,0,3
1442548800,23.16,23.16,0,0,1
1442808000,57.7,57.7,0,0,3
1442894400,46.31,46.31,0,0,2
1442980800,0.51,0.51,0,0,1
1443067200,47.47,47.47,0,0,2
1443153600,47.85,47.85,0,0,2
1443412800,62.55,62.55,0,0,3
1443499200,21.01,21.01,0,0,1
1443585600,30.22,30.22,0,0,2
1443672000,62.89,62.89,0,0,3
1443758400,66.09,66.09,0,0,3
1444017600,49.72,49.72,0,0,2
1444104000,42.77,42.77,0,0,2
1444190400,59.76,59.76,0,0,3
1444276800,15.47,15.47,0,0,1
1444363200,34.72,34.72,0,0,2
1444622400,11.06,11.06,0,0,1
1444708800,15.58,15.58,0,0,1
1444795200,29.69,29.69,0,0,1
1444881600,23.91,23.91,0,0,1
1444968000,30.95,30.95,0,0,2
1445227200,18.97,18.97,0,0,1
1445313600,33.48,33.48,0,0,2
1445400000,23.1,23.1,0,0,1
1445486400,32.53,32.53,0,0,2
1445572800,55.42,55.42,0,0,3
1445832000,25.27,25.27,0,0,1
1445918400,1.94,1.94,0,0,1
1446004800,50.06,50.06,0,0,3
1446091200,56.78,56.78,0,0,3
1446177600,39.31,39.31,0,0,2
1446440400,40.1,40.1,0,0,2
1446526800,55.76,55.76,0,0,3
1446613200,31.21,31.21,0,0,2
1446699600,11.28,11.28,0,0,1
1446786000,62.2,62.2,0,0,3
1447045200,33.96,33.96,0,0,2
1447131600,47.27,47.27,0,0,2
1447218000,39.69,39.69,0,0,2
1447304400,58.75,58.75,0,0,3
1447390800,10.55,10.55,0,0,1
1447650000,16.94,16.94,0,0,1
1447736400,28.14,28.14,0,0,1
1447822800,26.95,26.95,0,0,1
1447909200,56.92,56.92,0,0,3
1447995600,11.39,11.39,0,0,1
1448254800,28.78,28.78,0,0,1
1448341200,8.04,8.04,0,0,1
1448427600,53.31,53.31,0,0,3
1448600400,8.83,8.83,0,0,1
1448859600,12.85,12.85,0,0,1
1448946000,44.34,44.34,0,0,2
1449032400,38.49,38.49,0,0,2
1449118800,72.83,72.83,0,0,4
1449205200,66.84,66.84,0,0,3
1449464400,56.12,56.12,0,0,3
1449550800,57.34,57.34,0,0,3
1449637200,51.15,51.15,0,0,3
1449723600,24.11,24.11,0,0,1
1449810000,73.14,73.14,0,0,4
1450069200,65.58,65.58,0,0,3
1450155600,66.31,66.31,0,0,3
1450242000,59.98,59.98,0,0,3
1450328400,60.41,60.41,0,0,3
1450414800,38.93,38.93,0,0,2
1450674000,18.82,18.82,0,0,1
1450760400,41.44,41.44,0,0,2
1450846800,29.23,29.23,0,0,1
1450933200,17.1,17.1,0,0,1
1451278800,3.97,3.97,0,0,1
1451365200,48.77,48.77,0,0,2
1451451600,14.54,14.54,0,0,1
1451538000,69.66,69.66,0,0,3
1451883600,80.13,80.13,0,0,4
1451970000,47.17,47.17,0,0,2
1452056400,63.37,63.37,0,0,3
1452142800,50.0,50.0,0,0,2
1452229200,19.57,19.57,0,0,1
1452488400,54.85,54.85,0,0,3
1452574800,51.04,51.04,0,0,3
1452661200,56.57,56.57,0,0,3
1452747600,66.08,66.08,0,0,3
1452834000,68.39,68.39,0,0,3
1453179600,45.87,45.87,0,0,2
1453266000,63.47,63.47,0,0,3
1453352400,59.39,59.39,0,0,3
1453438800,63.52,63.52,0,0,3
1453698000,33.65,33.65,0,0,2
1453784400,27.97,27.97,0,0,1
1453870800,53.85,53.85,0,0,3
1453957200,49.48,49.48,0,0,2
1454043600,38.03,38.03,0,0,2
1454302800,62.89,62.89,0,0,3
1454389200,17.36,17.36,0,0,1
1454475600,77.99,77.99,0,0,4
1454562000,9.67,9.67,0,0,1
1454648400,40.23,40.23,0,0,2
1454907600,73.2,73.2,0,0,4
1454994000,74.08,74.08,0,0,4
1455080400,17.45,17.45,0,0,1
1455166800,68.69,68.69,0,0,3
